name,neighborhood,rating,n_reviews,cuisine_type,price_range
Perry St,Greenwich Village,4.4,375,"Asian, Vietnamese",$$$$
Red Bamboo,Greenwich Village,4.5,328,"American, Bar",$$ - $$$
Morandi,Greenwich Village,4.1,595,,$$ - $$$
The Clam,Greenwich Village,4.5,192,"French, American",$$ - $$$
Pastis,Greenwich Village,4.2,217,"International, Healthy",$$ - $$$
Bus Stop,Greenwich Village,4.4,263,"Italian, Pizza",$
Cafe Cluny,Greenwich Village,4.2,397,,$$ - $$$
Corner Bistro,Greenwich Village,4.0,1100,,$
RedFarm,Greenwich Village,4.4,408,"French, European",$$ - $$$
Babbo,Greenwich Village,4.1,1993,"American, Cafe",$$$$
"One if by Land, Two if by Sea",Greenwich Village,4.1,846,,$$$$
Decoy Bar,Greenwich Village,4.6,189,"American, Bar",$$ - $$$
Bareburger - The Village,Greenwich Village,4.3,259,"Chinese, Bar",$$ - $$$
Il Mulino New York,Greenwich Village,4.3,543,,$$$$
Jack's Wife Freda,Greenwich Village,4.3,203,"Italian, French",$$ - $$$
Trattoria Pesce Pasta,Greenwich Village,4.5,229,"Chinese, Asian",$$ - $$$
Carbone,Greenwich Village,4.0,515,"American, Bar",$$$$
Joseph Leonard,Greenwich Village,4.4,214,"Italian, Tuscan",$$ - $$$
Via Carota,Greenwich Village,4.3,447,"American, Mediterranean",$$ - $$$
Le Gigot,Greenwich Village,4.5,182,"Steakhouse, Seafood",$$ - $$$
North Square Restaurant & Lounge,Greenwich Village,4.3,262,"French, American",$$ - $$$
Waverly Diner,Greenwich Village,4.0,329,,$
Murray's Cheese,Greenwich Village,4.5,277,,$$ - $$$
Via 13,Greenwich Village,4.4,151,"American, Diner",$$ - $$$
Arturo's,Greenwich Village,4.2,369,"American, Cafe",$$ - $$$
Rh Rooftop Restaurant At Rh New York,Greenwich Village,4.2,202,,$$ - $$$
Banter,Greenwich Village,4.6,87,"Steakhouse, Seafood",$$ - $$$
STK Steakhouse,Greenwich Village,3.9,969,"Italian, Pizza",$$$$
Emily - West Village,Greenwich Village,4.3,165,,$$ - $$$
la bonbonniere,Greenwich Village,4.4,189,"American, Cafe",$
Alta,Greenwich Village,4.2,451,"American, Steakhouse",$$ - $$$
St Tropez West Village,Greenwich Village,4.7,73,"Italian, Pizza",$$ - $$$
Sushi Nakazawa,Greenwich Village,4.3,317,"American, Cafe",$$$$
Malatesta Trattoria,Greenwich Village,4.3,255,,$$ - $$$
Peacefood Cafe,Greenwich Village,4.5,119,"French, Wine Bar",$$ - $$$
The Grey Dog (Union Square),Greenwich Village,4.3,197,"Japanese, Sushi",$$ - $$$
Valbella,Greenwich Village,4.4,246,,$$$$
Tacombi,Greenwich Village,4.2,195,"Japanese, Sushi",$$ - $$$
Mighty Quinn's Barbeque,Greenwich Village,4.3,182,"American, Cafe",$$ - $$$
The Grey Dog (West Village),Greenwich Village,4.5,83,,$$ - $$$
Claudette,Greenwich Village,4.2,246,"Italian, Steakhouse",$$ - $$$
Catch,Greenwich Village,3.9,1753,"Mexican, Latin",$$$$
Dante,Greenwich Village,4.2,196,"American, Barbecue",$$ - $$$
Frevo,Greenwich Village,4.8,50,,$$$$
Urban Vegan Kitchen,Greenwich Village,4.6,73,"French, European",$$ - $$$
Berimbau Brazilian Kitchen,Greenwich Village,4.3,142,"Seafood, Sushi",$$ - $$$
Blue Note,Greenwich Village,3.9,1470,"Italian, Bar",$$ - $$$
Tartine,Greenwich Village,4.2,223,"French, International",$$ - $$$
Cowgirl,Greenwich Village,4.1,281,,$$ - $$$
Jeffrey's Grocery,Greenwich Village,4.3,180,"Steakhouse, Seafood",$$ - $$$
White Oak Tavern,Greenwich Village,4.4,139,"French, American",$$ - $$$
Bobo,Greenwich Village,4.2,211,"American, Seafood",$$$$
GMT Tavern,Greenwich Village,4.2,197,"American, Bar",$$ - $$$
Artichoke Basille's Pizza,Greenwich Village,4.3,146,"French, European",$
Employees Only,Greenwich Village,4.2,453,"Bar, Seafood",$$ - $$$
I Sodi,Greenwich Village,4.4,239,"Italian, American",$$ - $$$
Semma,Greenwich Village,4.4,107,"Steakhouse, Seafood",$$ - $$$
Senza Gluten By Jemiko 100 % Gluten Free Cafe & Bakery,Greenwich Village,4.8,42,"American, Bar",$$ - $$$
Panineria,Greenwich Village,4.7,66,,$
